modifier,location,condition,default_hotkey,command_id,comment,application,group
minimize,application,,,`IDC_HIDE_APP`,(macOS only) Hide the Chrome application,Google Chrome,Platform-Specific
close,window,,Alt+F4,`org.gnome.desktop.wm.keybindings close`,Close the focused window,Linux (GNOME),Window Management — Basic Actions
toggle,window,,Alt+F10,`org.gnome.desktop.wm.keybindings toggle-maximized`,Toggle maximize/restore,Linux (GNOME),Window Management — Basic Actions
maximize,window,,Super+Up,`org.gnome.desktop.wm.keybindings maximize`,Maximize window,Linux (GNOME),Window Management — Basic Actions
restore,window,,Super+Down or Alt+F5,`org.gnome.desktop.wm.keybindings unmaximize`,Restore (un-maximize) window,Linux (GNOME),Window Management — Basic Actions
minimize,window,,Super+H,`org.gnome.desktop.wm.keybindings minimize`,Minimize window,Linux (GNOME),Window Management — Basic Actions
toggle,screen,,,`org.gnome.desktop.wm.keybindings toggle-fullscreen`,Toggle fullscreen mode,Linux (GNOME),Window Management — Basic Actions
,,,,`org.gnome.desktop.wm.keybindings toggle-above`,"Toggle ""always on top""; appears to duplicate `always-on-top` below",Linux (GNOME),Window Management — Basic Actions
,,,,`org.gnome.desktop.wm.keybindings always-on-top`,"Toggle window always-on-top (newer key, same effect as `toggle-above`)",Linux (GNOME),Window Management — Basic Actions
move,window,,Alt+F7,`org.gnome.desktop.wm.keybindings begin-move`,Start interactive move (keyboard-driven),Linux (GNOME),Window Management — Basic Actions
,,,Alt+F8,`org.gnome.desktop.wm.keybindings begin-resize`,Start interactive resize (keyboard-driven),Linux (GNOME),Window Management — Basic Actions
,,,,`org.gnome.desktop.wm.keybindings raise`,Raise window above others,Linux (GNOME),Window Management — Basic Actions
,,,,`org.gnome.desktop.wm.keybindings lower`,Lower window below others,Linux (GNOME),Window Management — Basic Actions
,,,,`org.gnome.desktop.wm.keybindings raise-or-lower`,"Raise if covered, else lower",Linux (GNOME),Window Management — Basic Actions
maximize,window,,,`org.gnome.desktop.wm.keybindings maximize-vertically`,Maximize only vertically,Linux (GNOME),Window Management — Basic Actions
maximize,window,,,`org.gnome.desktop.wm.keybindings maximize-horizontally`,Maximize only horizontally,Linux (GNOME),Window Management — Basic Actions
,,,,`org.gnome.desktop.wm.keybindings toggle-on-all-workspaces`,Pin window to all workspaces / unpin,Linux (GNOME),Window Management — Basic Actions
activate,window,,Alt+Space,`org.gnome.desktop.wm.keybindings activate-window-menu`,Open the window's title-bar menu,Linux (GNOME),Window Management — Basic Actions
show,desktop,,,`org.gnome.desktop.wm.keybindings show-desktop`,Minimize all normal windows,Linux (GNOME),Window Management — Basic Actions
,,,Alt+F2,`org.gnome.desktop.wm.keybindings panel-run-dialog`,"Show the ""run a command"" prompt",Linux (GNOME),Window Management — Basic Actions
move,left,,Super+Left,`org.gnome.mutter.keybindings toggle-tiled-left`,Tile window to left half of screen,Linux (GNOME),Window Tiling & Snapping
move,right,,Super+Right,`org.gnome.mutter.keybindings toggle-tiled-right`,Tile window to right half of screen,Linux (GNOME),Window Tiling & Snapping
move,corner,,,`org.gnome.desktop.wm.keybindings move-to-corner-nw`,Snap window to top-left corner (quarter-tile),Linux (GNOME),Window Tiling & Snapping
move,corner,,,`org.gnome.desktop.wm.keybindings move-to-corner-ne`,Snap window to top-right corner,Linux (GNOME),Window Tiling & Snapping
move,corner,,,`org.gnome.desktop.wm.keybindings move-to-corner-sw`,Snap window to bottom-left corner,Linux (GNOME),Window Tiling & Snapping
move,corner,,,`org.gnome.desktop.wm.keybindings move-to-corner-se`,Snap window to bottom-right corner,Linux (GNOME),Window Tiling & Snapping
move,side,,,`org.gnome.desktop.wm.keybindings move-to-side-n`,Snap window to top half (full-width),Linux (GNOME),Window Tiling & Snapping
move,side,,,`org.gnome.desktop.wm.keybindings move-to-side-s`,Snap window to bottom half,Linux (GNOME),Window Tiling & Snapping
move,side,,,`org.gnome.desktop.wm.keybindings move-to-side-e`,Snap window to right half,Linux (GNOME),Window Tiling & Snapping
move,side,,,`org.gnome.desktop.wm.keybindings move-to-side-w`,Snap window to left half,Linux (GNOME),Window Tiling & Snapping
move,,,,`org.gnome.desktop.wm.keybindings move-to-center`,Center window on screen without resizing,Linux (GNOME),Window Tiling & Snapping
previous,workspace,,Super+Page_Up or Super+Alt+Left or Ctrl+Alt+Left,`org.gnome.desktop.wm.keybindings switch-to-workspace-left`,Switch to the workspace to the left,Linux (GNOME),Workspace Switching
next,workspace,,Super+Page_Down or Super+Alt+Right or Ctrl+Alt+Right,`org.gnome.desktop.wm.keybindings switch-to-workspace-right`,Switch to the workspace to the right,Linux (GNOME),Workspace Switching
previous,workspace,,Ctrl+Alt+Up,`org.gnome.desktop.wm.keybindings switch-to-workspace-up`,Switch to the workspace above (vertical workspace layout),Linux (GNOME),Workspace Switching
next,workspace,,Ctrl+Alt+Down,`org.gnome.desktop.wm.keybindings switch-to-workspace-down`,Switch to the workspace below,Linux (GNOME),Workspace Switching
go_to,workspace,,Super+End,`org.gnome.desktop.wm.keybindings switch-to-workspace-last`,Jump to the last workspace,Linux (GNOME),Workspace Switching
Move focused window to numbered workspace,move,workspace,workspace 1: Super+Shift+Home,`org.gnome.desktop.wm.keybindings move-to-workspace-{1..12}`, 2–12: none,Linux (GNOME),Moving Windows Between Workspaces & Monitors
move,workspace,,Super+Shift+Page_Up or Super+Shift+Alt+Left or Ctrl+Shift+Alt+Left,`org.gnome.desktop.wm.keybindings move-to-workspace-left`,Move window to workspace on the left,Linux (GNOME),Moving Windows Between Workspaces & Monitors
move,workspace,,Super+Shift+Page_Down or Super+Shift+Alt+Right or Ctrl+Shift+Alt+Right,`org.gnome.desktop.wm.keybindings move-to-workspace-right`,Move window to workspace on the right,Linux (GNOME),Moving Windows Between Workspaces & Monitors
move,workspace,,Ctrl+Shift+Alt+Up,`org.gnome.desktop.wm.keybindings move-to-workspace-up`,Move window one workspace up,Linux (GNOME),Moving Windows Between Workspaces & Monitors
move,workspace,,Ctrl+Shift+Alt+Down,`org.gnome.desktop.wm.keybindings move-to-workspace-down`,Move window one workspace down,Linux (GNOME),Moving Windows Between Workspaces & Monitors
move,workspace,,Super+Shift+End,`org.gnome.desktop.wm.keybindings move-to-workspace-last`,Move window to the last workspace,Linux (GNOME),Moving Windows Between Workspaces & Monitors
move,monitor,,Super+Shift+Left,`org.gnome.desktop.wm.keybindings move-to-monitor-left`,Move window to the next monitor on the left,Linux (GNOME),Moving Windows Between Workspaces & Monitors
move,monitor,,Super+Shift+Right,`org.gnome.desktop.wm.keybindings move-to-monitor-right`,Move window to the next monitor on the right,Linux (GNOME),Moving Windows Between Workspaces & Monitors
move,monitor,,Super+Shift+Up,`org.gnome.desktop.wm.keybindings move-to-monitor-up`,Move window to the monitor above,Linux (GNOME),Moving Windows Between Workspaces & Monitors
move,monitor,,Super+Shift+Down,`org.gnome.desktop.wm.keybindings move-to-monitor-down`,Move window to the monitor below,Linux (GNOME),Moving Windows Between Workspaces & Monitors
next,application,,Super+Tab or Alt+Tab,`org.gnome.desktop.wm.keybindings switch-applications`,Switch between applications (Alt-Tab switcher),Linux (GNOME),Application & Window Switching
previous,application,,Shift+Super+Tab or Shift+Alt+Tab,`org.gnome.desktop.wm.keybindings switch-applications-backward`,Reverse-direction app switch,Linux (GNOME),Application & Window Switching
 distinct from `switch-applications`),next,window,,`org.gnome.desktop.wm.keybindings switch-windows`,Switch between individual windows (no default,Linux (GNOME),Application & Window Switching
previous,window,,,`org.gnome.desktop.wm.keybindings switch-windows-backward`,Reverse-direction window switch,Linux (GNOME),Application & Window Switching
next,window,,Super+` or Alt+`,`org.gnome.desktop.wm.keybindings switch-group`,Switch between windows of the *current* application only,Linux (GNOME),Application & Window Switching
previous,window,,Shift+Super+` or Shift+Alt+`,`org.gnome.desktop.wm.keybindings switch-group-backward`,Reverse-direction same-app window switch,Linux (GNOME),Application & Window Switching
next,pane,,Ctrl+Alt+Tab,`org.gnome.desktop.wm.keybindings switch-panels`,"Switch between panels/system controls (a11y-style switcher, shows icons)",Linux (GNOME),Application & Window Switching
previous,pane,,Shift+Ctrl+Alt+Tab,`org.gnome.desktop.wm.keybindings switch-panels-backward`,Reverse-direction panel switch,Linux (GNOME),Application & Window Switching
next,window,,Alt+Escape,`org.gnome.desktop.wm.keybindings cycle-windows`,"Switch windows directly, no popup switcher",Linux (GNOME),Application & Window Switching
previous,window,,Shift+Alt+Escape,`org.gnome.desktop.wm.keybindings cycle-windows-backward`,"Reverse-direction, no popup",Linux (GNOME),Application & Window Switching
next,window,,Alt+F6,`org.gnome.desktop.wm.keybindings cycle-group`,"Switch same-app windows directly, no popup",Linux (GNOME),Application & Window Switching
previous,window,,Shift+Alt+F6,`org.gnome.desktop.wm.keybindings cycle-group-backward`,"Reverse-direction, no popup",Linux (GNOME),Application & Window Switching
next,pane,,Ctrl+Alt+Escape,`org.gnome.desktop.wm.keybindings cycle-panels`,"Switch panels directly, no popup",Linux (GNOME),Application & Window Switching
previous,pane,,Shift+Ctrl+Alt+Escape,`org.gnome.desktop.wm.keybindings cycle-panels-backward`,"Reverse-direction, no popup",Linux (GNOME),Application & Window Switching
show,application,,Super+A,`org.gnome.shell.keybindings toggle-application-view`,"Open the ""Show Applications"" app grid",Linux (GNOME),"GNOME Shell — Overview, Search & App Launching"
,,,Super+Alt+Up,`org.gnome.shell.keybindings shift-overview-up`,Shift between overview states (windows ↔ app grid),Linux (GNOME),"GNOME Shell — Overview, Search & App Launching"
,,,Super+Alt+Down,`org.gnome.shell.keybindings shift-overview-down`,"Shift between overview states, opposite direction",Linux (GNOME),"GNOME Shell — Overview, Search & App Launching"
activate,application,,Super+1 … Super+9,`org.gnome.shell.keybindings switch-to-application-{1..9}`,Activate/launch the Nth favorite/running app on the dash,Linux (GNOME),"GNOME Shell — Overview, Search & App Launching"
new,window,,Ctrl+Super+1 … Ctrl+Super+9,`org.gnome.shell.keybindings open-new-window-application-{1..9}`,Open a new window of the Nth dash app,Linux (GNOME),"GNOME Shell — Overview, Search & App Launching"
new,screenshot,,Print,`org.gnome.shell.keybindings show-screenshot-ui`,Open the interactive screenshot tool (GNOME 42+),Linux (GNOME),Screenshots & Screen Recording
new,screenshot,,Alt+Print,`org.gnome.shell.keybindings screenshot-window`,Screenshot the focused window directly (no UI),Linux (GNOME),Screenshots & Screen Recording
new,screenshot,,Shift+Print,`org.gnome.shell.keybindings screenshot`,Screenshot the whole screen directly (no UI),Linux (GNOME),Screenshots & Screen Recording
toggle,notification,,Super+V or Super+M,`org.gnome.shell.keybindings toggle-message-tray`,Open/close the notification list (Super+M is a legacy alias kept alongside Super+V),Linux (GNOME),Notifications
toggle,quick_settings,,Super+S,`org.gnome.shell.keybindings toggle-quick-settings`,Open/close the Quick Settings menu (Wi-Fi/volume/power panel),Linux (GNOME),Notifications
activate,notification,,Super+N,`org.gnome.shell.keybindings focus-active-notification`,Move keyboard focus to the currently showing notification banner,Linux (GNOME),Notifications
next,monitor,,Super+P or XF86Display,`org.gnome.mutter.keybindings switch-monitor`,"Cycle display/monitor configuration (mirror, extend, single)",Linux (GNOME),Mutter / Compositor & Session-Level
,,,XF86RotateWindows,`org.gnome.mutter.keybindings rotate-monitor`,Rotate the built-in display (tablet/convertible hardware key),Linux (GNOME),Mutter / Compositor & Session-Level
,,,Super+Shift+Escape,`org.gnome.mutter.keybindings cancel-input-capture`,Cancel an active remote-desktop input-capture session (GNOME 46+),Linux (GNOME),Mutter / Compositor & Session-Level
,,,Ctrl_L (double-tap),`org.gnome.mutter locate-pointer-key`,"Single string modifier key, not an array — double-tapping it flashes a locator ring around the mouse pointer",Linux (GNOME),Mutter / Compositor & Session-Level
restore,keybinding,,Super+Escape,`org.gnome.mutter.wayland.keybindings restore-shortcuts`,Re-enable shortcuts after an app has grabbed them (e.g. a VM or remote-desktop session),Linux (GNOME),Mutter / Compositor & Session-Level
,,,Ctrl+Alt+F1 … Ctrl+Alt+F12,`org.gnome.mutter.wayland.keybindings switch-to-session-{1..12}`,"Switch virtual terminal/session (X11 VT-switch equivalent); Wayland/X11-server-level, not app-facing",Linux (GNOME),Mutter / Compositor & Session-Level
toggle,magnifier,,Alt+Super+8,`org.gnome.settings-daemon.plugins.media-keys magnifier`,Toggle the full-screen magnifier (zoom),Linux (GNOME),Accessibility
more,zoom,,Alt+Super+=,`org.gnome.settings-daemon.plugins.media-keys magnifier-zoom-in`,Increase magnifier zoom level,Linux (GNOME),Accessibility
less,zoom,,Alt+Super+-,`org.gnome.settings-daemon.plugins.media-keys magnifier-zoom-out`,Decrease magnifier zoom level,Linux (GNOME),Accessibility
toggle,screen_reader,,Alt+Super+S,`org.gnome.settings-daemon.plugins.media-keys screenreader`,Toggle Orca screen reader,Linux (GNOME),Accessibility
toggle,keyboard,,,`org.gnome.settings-daemon.plugins.media-keys on-screen-keyboard`,Toggle the on-screen keyboard,Linux (GNOME),Accessibility
,,,,`org.gnome.settings-daemon.plugins.media-keys increase-text-size`,Increase system-wide text size,Linux (GNOME),Accessibility
,,,,`org.gnome.settings-daemon.plugins.media-keys decrease-text-size`,Decrease system-wide text size,Linux (GNOME),Accessibility
toggle,contrast,,,`org.gnome.settings-daemon.plugins.media-keys toggle-contrast`,Toggle high-contrast theme,Linux (GNOME),Accessibility
more,volume,,XF86AudioRaiseVolume or Ctrl+XF86AudioRaiseVolume,`org.gnome.settings-daemon.plugins.media-keys volume-up`,Raise system volume,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
less,volume,,XF86AudioLowerVolume or Ctrl+XF86AudioLowerVolume,`org.gnome.settings-daemon.plugins.media-keys volume-down`,Lower system volume,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
mute,volume,,XF86AudioMute,`org.gnome.settings-daemon.plugins.media-keys volume-mute`,Mute/unmute system volume,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
more,volume,,Alt+XF86AudioRaiseVolume or Alt+Ctrl+XF86AudioRaiseVolume,`org.gnome.settings-daemon.plugins.media-keys volume-up-quiet`,Raise volume in smaller/quiet increments,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
less,volume,,Alt+XF86AudioLowerVolume or Alt+Ctrl+XF86AudioLowerVolume,`org.gnome.settings-daemon.plugins.media-keys volume-down-quiet`,Lower volume in smaller/quiet increments,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
mute,volume,,Alt+XF86AudioMute,`org.gnome.settings-daemon.plugins.media-keys volume-mute-quiet`,Quiet-variant mute toggle,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
more,volume,,Shift+XF86AudioRaiseVolume or Ctrl+Shift+XF86AudioRaiseVolume,`org.gnome.settings-daemon.plugins.media-keys volume-up-precise`,Raise volume in fine (1%) increments,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
less,volume,,Shift+XF86AudioLowerVolume or Ctrl+Shift+XF86AudioLowerVolume,`org.gnome.settings-daemon.plugins.media-keys volume-down-precise`,Lower volume in fine (1%) increments,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
mute,microphone,,XF86AudioMicMute,`org.gnome.settings-daemon.plugins.media-keys mic-mute`,Mute/unmute microphone,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
run,track,,XF86AudioPlay or Ctrl+XF86AudioPlay,`org.gnome.settings-daemon.plugins.media-keys play`,Play / play-pause current track,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
pause,track,,XF86AudioPause,`org.gnome.settings-daemon.plugins.media-keys pause`,Pause playback,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
stop,track,,XF86AudioStop,`org.gnome.settings-daemon.plugins.media-keys stop`,Stop playback,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
next,track,,XF86AudioNext or Ctrl+XF86AudioNext,`org.gnome.settings-daemon.plugins.media-keys next`,Next track,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
previous,track,,XF86AudioPrev or Ctrl+XF86AudioPrev,`org.gnome.settings-daemon.plugins.media-keys previous`,Previous track,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
,,,XF86AudioRewind,`org.gnome.settings-daemon.plugins.media-keys playback-rewind`,Skip backward within current track,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
,,,XF86AudioForward,`org.gnome.settings-daemon.plugins.media-keys playback-forward`,Skip forward within current track,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
,,,XF86AudioRepeat,`org.gnome.settings-daemon.plugins.media-keys playback-repeat`,Toggle repeat playback mode,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
,,,XF86AudioRandomPlay,`org.gnome.settings-daemon.plugins.media-keys playback-random`,Toggle shuffle/random playback mode,Linux (GNOME),"Media Keys — Volume, Microphone & Playback"
 GNOME Shell's copy is authoritative as of GNOME 42+),more,brightness,XF86MonBrightnessUp,`org.gnome.shell.keybindings screen-brightness-up`,Increase screen brightness (also mirrored in the `media-keys` schema for backward compatibility,Linux (GNOME),Media Keys — Screen & Keyboard Brightness
more,brightness,,Shift+XF86MonBrightnessUp,`org.gnome.shell.keybindings screen-brightness-up-monitor`,Increase brightness of only the currently-focused monitor (multi-monitor),Linux (GNOME),Media Keys — Screen & Keyboard Brightness
less,brightness,,XF86MonBrightnessDown,`org.gnome.shell.keybindings screen-brightness-down`,Decrease screen brightness,Linux (GNOME),Media Keys — Screen & Keyboard Brightness
less,brightness,,Shift+XF86MonBrightnessDown,`org.gnome.shell.keybindings screen-brightness-down-monitor`,Decrease brightness of only the focused monitor,Linux (GNOME),Media Keys — Screen & Keyboard Brightness
next,brightness,,XF86MonBrightnessCycle,`org.gnome.shell.keybindings screen-brightness-cycle`,Cycle through brightness presets,Linux (GNOME),Media Keys — Screen & Keyboard Brightness
next,brightness,,Shift+XF86MonBrightnessCycle,`org.gnome.shell.keybindings screen-brightness-cycle-monitor`,Cycle brightness presets on the focused monitor only,Linux (GNOME),Media Keys — Screen & Keyboard Brightness
more,brightness,,XF86KbdBrightnessUp,`org.gnome.settings-daemon.plugins.media-keys keyboard-brightness-up`,Increase keyboard backlight brightness,Linux (GNOME),Media Keys — Screen & Keyboard Brightness
less,brightness,,XF86KbdBrightnessDown,`org.gnome.settings-daemon.plugins.media-keys keyboard-brightness-down`,Decrease keyboard backlight brightness,Linux (GNOME),Media Keys — Screen & Keyboard Brightness
toggle,brightness,,XF86KbdLightOnOff,`org.gnome.settings-daemon.plugins.media-keys keyboard-brightness-toggle`,Toggle keyboard backlight on/off,Linux (GNOME),Media Keys — Screen & Keyboard Brightness
run,application,,XF86Calculator,`org.gnome.settings-daemon.plugins.media-keys calculator`,Launch the calculator app,Linux (GNOME),Launch Applications
open,setting,,XF86Tools,`org.gnome.settings-daemon.plugins.media-keys control-center`,Launch Settings (control center),Linux (GNOME),Launch Applications
run,application,,XF86Mail,`org.gnome.settings-daemon.plugins.media-keys email`,Launch the default email client,Linux (GNOME),Launch Applications
,,,XF86Eject,`org.gnome.settings-daemon.plugins.media-keys eject`,Eject removable media,Linux (GNOME),Launch Applications
manual,,,Super+F1,`org.gnome.settings-daemon.plugins.media-keys help`,"Launch the help browser (default lives directly on the plain key, not a `-static` twin)",Linux (GNOME),Launch Applications
open,folder,,XF86Explorer,`org.gnome.settings-daemon.plugins.media-keys home`,Open the file manager at the home folder,Linux (GNOME),Launch Applications
run,application,,XF86AudioMedia,`org.gnome.settings-daemon.plugins.media-keys media`,Launch the default media player,Linux (GNOME),Launch Applications
run,application,,XF86Search,`org.gnome.settings-daemon.plugins.media-keys search`,Launch the default search app,Linux (GNOME),Launch Applications
run,application,,XF86WWW,`org.gnome.settings-daemon.plugins.media-keys www`,Launch the default web browser,Linux (GNOME),Launch Applications
toggle,touchpad,,XF86TouchpadToggle or Ctrl+Super+XF86TouchpadToggle,`org.gnome.settings-daemon.plugins.media-keys touchpad-toggle`,Toggle touchpad on/off,Linux (GNOME),Launch Applications
enable,touchpad,,XF86TouchpadOn,`org.gnome.settings-daemon.plugins.media-keys touchpad-on`,Switch touchpad on,Linux (GNOME),Launch Applications
disable,touchpad,,XF86TouchpadOff,`org.gnome.settings-daemon.plugins.media-keys touchpad-off`,Switch touchpad off,Linux (GNOME),Launch Applications
lock,screen,,Super+L or XF86ScreenSaver,`org.gnome.settings-daemon.plugins.media-keys screensaver`,Lock the screen (both a real key default and a `-static` hardware-key twin are active simultaneously here),Linux (GNOME),"Power, Lock & Session"
logout,,,Ctrl+Alt+Delete,`org.gnome.settings-daemon.plugins.media-keys logout`,Log out of the session,Linux (GNOME),"Power, Lock & Session"
reboot,,,,`org.gnome.settings-daemon.plugins.media-keys reboot`,Reboot the machine (no default binding),Linux (GNOME),"Power, Lock & Session"
shutdown,,,,`org.gnome.settings-daemon.plugins.media-keys shutdown`,Shut down the machine (no default binding),Linux (GNOME),"Power, Lock & Session"
shutdown,,,XF86PowerOff,`org.gnome.settings-daemon.plugins.media-keys power`,Trigger the power button action (usually shows the power-off dialog),Linux (GNOME),"Power, Lock & Session"
suspend,,,XF86Sleep,`org.gnome.settings-daemon.plugins.media-keys suspend`,Suspend the machine,Linux (GNOME),"Power, Lock & Session"
hibernate,,,XF86Suspend or XF86Hibernate,`org.gnome.settings-daemon.plugins.media-keys hibernate`,"Hibernate the machine (hardware ""sleep"" keys often map here too)",Linux (GNOME),"Power, Lock & Session"
next,input_source,,Super+Space or XF86Keyboard,`org.gnome.desktop.wm.keybindings switch-input-source`,Switch to the next keyboard layout/input method,Linux (GNOME),Input Source Switching
previous,input_source,,Shift+Super+Space or Shift+XF86Keyboard,`org.gnome.desktop.wm.keybindings switch-input-source-backward`,Switch to the previous keyboard layout/input method,Linux (GNOME),Input Source Switching
,,,Super+O or XF86RotationLockToggle,`org.gnome.settings-daemon.plugins.media-keys rotate-video-lock`,Toggle automatic screen-orientation rotation (tablets/convertibles),Linux (GNOME),Hardware & Misc Toggles
show,battery,,XF86Battery,`org.gnome.settings-daemon.plugins.media-keys battery-status`,Show battery status,Linux (GNOME),Hardware & Misc Toggles
,,,XF86WLAN or XF86UWB or XF86RFKill,`org.gnome.settings-daemon.plugins.media-keys rfkill`,Toggle all radios (airplane mode),Linux (GNOME),Hardware & Misc Toggles
toggle,bluetooth,,XF86Bluetooth,`org.gnome.settings-daemon.plugins.media-keys rfkill-bluetooth`,Toggle Bluetooth radio only,Linux (GNOME),Hardware & Misc Toggles
go_to,file,,`:b`,`:buffer`,Go to buffer by number or name **[Ex-only]**,Neovim,Buffers
next,file,,`:bn`,`:bnext`,Go to next buffer in the buffer list **[Ex-only]**,Neovim,Buffers
previous,file,,`:bp`,`:bprevious`,Go to previous buffer in the buffer list **[Ex-only]**,Neovim,Buffers
previous,file,,`:bN`,`:bNext`,Same as `:bprevious` **[Ex-only]**,Neovim,Buffers
go_to,file,,`:bf`,`:bfirst`,Go to first buffer in the list **[Ex-only]**,Neovim,Buffers
go_to,file,,`:bl`,`:blast`,Go to last buffer in the list **[Ex-only]**,Neovim,Buffers
go_to,file,,`:br`,`:brewind`,Go to first buffer in the list **[Ex-only]**,Neovim,Buffers
next,file,,`:bm`,`:bmodified`,Go to next modified buffer **[Ex-only]**,Neovim,Buffers
show,file,,`:ls`,`:buffers`,List all buffers **[Ex-only]**,Neovim,Buffers
,,,`:bad`,`:badd`,Add a buffer to the buffer list without loading it **[Ex-only]**,Neovim,Buffers
,,,`:balt`,`:balt`,Like `:badd` but also sets the alternate file **[Ex-only]**,Neovim,Buffers
,,,`:ba`,`:ball`,Open a window for every buffer in the list **[Ex-only]**,Neovim,Buffers
,,,`:sba`,`:sball`,Split window for every buffer in the list **[Ex-only]**,Neovim,Buffers
,,,`:bun`,`:bunload`,"Unload a buffer, keep it in the buffer list **[Ex-only]**",Neovim,Buffers
delete,file,,`:bd`,`:bdelete`,Remove a buffer from the buffer list **[Ex-only]**,Neovim,Buffers
delete,file,,`:bw`,`:bwipeout`,Completely delete a buffer and its info **[Ex-only]**,Neovim,Buffers
,,,`:bufdo`,`:bufdo`,Execute a command in every listed buffer **[Ex-only]**,Neovim,Buffers
new,file,,`:ene`,`:enew`,"Edit a new, unnamed buffer **[Ex-only]**",Neovim,Buffers
next,file,,`]b`,Go to next buffer,vim-unimpaired-style next buffer (built-in default),Neovim,Buffers
previous,file,,`[b`,Go to previous buffer,vim-unimpaired-style previous buffer (built-in default),Neovim,Buffers
 `:brewind` unless a count is given,go_to,file,`[B`,Go to first buffer,Built-in default,Neovim,Buffers
 `:blast` unless a count is given,go_to,file,`]B`,Go to last buffer,Built-in default,Neovim,Buffers
go_to,file,,`Ctrl-^`,Edit alternate file,"Switch to the alternate (`#`) buffer, `N` selects alternate file N",Neovim,Buffers
new,split,,`:sp`,`:split`,Split window horizontally **[Ex-only]**,Neovim,Windows / Splits
new,split,,`:vs`,`:vsplit`,Split window vertically **[Ex-only]**,Neovim,Windows / Splits
new,pane,,`:new`,`:new`,Create a new empty window (horizontal) **[Ex-only]**,Neovim,Windows / Splits
new,pane,,`:vne`,`:vnew`,Create a new empty window (vertical) **[Ex-only]**,Neovim,Windows / Splits
close,pane,,`:clo`,`:close`,Close the current window **[Ex-only]**,Neovim,Windows / Splits
close,pane,,`:hid`,`:hide`,Hide the current window/buffer **[Ex-only]**,Neovim,Windows / Splits
close,pane,,`:on`,`:only`,Close all windows except the current one **[Ex-only]**,Neovim,Windows / Splits
close,pane,,`:q`,`:quit`,Quit the current window **[Ex-only]**,Neovim,Windows / Splits
,,,`:res`,`:resize`,Change current window height **[Ex-only]**,Neovim,Windows / Splits
,,,`:winc`,`:wincmd`,Execute a `Ctrl-W` window command by letter **[Ex-only]**,Neovim,Windows / Splits
new,split,,`Ctrl-W s`,Split window,Same as `:split`,Neovim,Windows / Splits
new,split,,`Ctrl-W v`,Split window vertically,Same as `:vsplit`,Neovim,Windows / Splits
close,pane,,`Ctrl-W c`,Close window,Same as `:close`,Neovim,Windows / Splits
close,pane,,`Ctrl-W o`,Close other windows,Same as `:only`,Neovim,Windows / Splits
close,pane,,`Ctrl-W q`,Quit window,Same as `:quit`,Neovim,Windows / Splits
next,pane,,`Ctrl-W w`,Go to next window,"Cycle to next window, wraps around",Neovim,Windows / Splits
previous,pane,,`Ctrl-W W`,Go to previous window,"Cycle to previous window, wraps around",Neovim,Windows / Splits
go_to,pane,,`Ctrl-W p`,Go to last-accessed window,Jump to the previously focused window,Neovim,Windows / Splits
,,,`Ctrl-W h/j/k/l`,Go to window left/down/up/right,Directional window navigation,Neovim,Windows / Splits
go_to,pane,,`Ctrl-W t`,Go to top window,Move to topmost window,Neovim,Windows / Splits
go_to,pane,,`Ctrl-W b`,Go to bottom window,Move to bottommost window,Neovim,Windows / Splits
move,pane,,`Ctrl-W H/J/K/L`,Move window far left/bottom/top/right,Relocate current window to a screen edge,Neovim,Windows / Splits
move,tab,,`Ctrl-W T`,Move window to new tab page,Break window out into its own tab,Neovim,Windows / Splits
,,,`Ctrl-W r`,Rotate windows downwards,Rotate window layout,Neovim,Windows / Splits
,,,`Ctrl-W R`,Rotate windows upwards,"Rotate window layout, reverse",Neovim,Windows / Splits
,,,`Ctrl-W x`,Exchange windows,Swap current window with another,Neovim,Windows / Splits
reset,pane,,`Ctrl-W =`,Equalize window sizes,Make all windows equal height/width,Neovim,Windows / Splits
,,,`Ctrl-W +` / `Ctrl-W -`,Increase/decrease window height,Resize by N lines,Neovim,Windows / Splits
,,,`Ctrl-W >` / `Ctrl-W <`,Increase/decrease window width,Resize by N columns,Neovim,Windows / Splits
,,,`Ctrl-W _`,Set window height,Max height (or N),Neovim,Windows / Splits
,,,`Ctrl-W |`,Set window width,Max width (or N),Neovim,Windows / Splits
new,pane,,`Ctrl-W n`,Open new window,"New window, N lines high",Neovim,Windows / Splits
close,pane,,`Ctrl-W z`,Close preview window,Same as `:pclose`,Neovim,Windows / Splits
